Type,Price,Sqm Price,Size,Living Area,Ground Area,Rooms,Ownership Expense,Year Built,Story,Energy Label,Longitude,Latitude,ZipCode,Drop_Rate,Age of Building,Price_W_Drop_Rate,Town
Ejerlejlighed,5.195.000,74.214,70,66,,3,3.558,1800, 1, D,12.583427,55.681322,1104,0,222,5.195.000,København K
Ejerlejlighed,6.995.000,50.323,139,176,,4,6.835,1741, 3,,,,1107,0,281,6.995.000,København K
Ejerlejlighed,3.995.000,75.377,53,47,,2,2.866,1741, 2,,12.583128,55.681395,1107,5,281,3.795.250,København K
Ejerlejlighed,3.400.000,68.000,50,45,,1,2.981,1741, 1,,,,1107,0,281,3.400.000,København K
Ejerlejlighed,5.995.000,39.440,152,144,,4,5.050,1720, 3,,,,1118,8,302,5.515.400,København K
Ejerlejlighed,4.875.000,67.708,72,63,,3,3.405,1700,0, D,12.578112,55.683258,1119,0,322,4.875.000,København K
Ejerlejlighed,25.000.000,105.042,238,224,,4,10.442,1965, 3, C,12.576892,55.682461,1119,17,57,20.750.000,København K
Rækkehus,12.995.000,91.514,142,,,5,3.176,1732,0, D,12.578022,55.68319,1119,7,290,12.085.350,København K
Andelsbolig,6.393.684,0,154,,,5,,1904, 2, E,12.57642,55.683706,1123,0,118,6.393.684,København K
Ejerlejlighed,18.000.000,82.568,218,191,,6,7.323,1880, 3, E,,,1123,0,142,18.000.000,København K
Ejerlejlighed,8.750.000,58.333,150,140,,5,6.017,1877, 2, C,12.568696,55.685723,1123,0,145,8.750.000,København K
Ejerlejlighed,6.995.000,64.768,108,126,,2,4.664,1877, 5, C,,,1123,3,145,6.785.150,København K
Ejerlejlighed,6.195.000,62.575,99,89,,4,4.735,1883, 3, D,12.577321,55.683466,1123,11,139,5.513.550,København K
Ejerlejlighed,4.750.000,48.969,97,82,,4,4.459,1766, 2, D,,,1123,5,256,4.512.500,København K
Rækkehus,19.200.000,67.368,285,,,6,10.679,1734,0, B,12.577041,55.683078,1124,0,288,19.200.000,København K
Ejerlejlighed,9.495.000,56.183,169,148,,5,5.641,1832, 2, D,,,1127,5,190,9.020.250,København K
Ejerlejlighed,3.395.000,69.285,49,40,,2,1.944,1854,0,,12.575676,55.68311,1127,0,168,3.395.000,København K
Ejerlejlighed,7.500.000,70.093,107,86,,3,3.419,1832, 1, D,,,1127,12,190,6.600.000,København K
Ejerlejlighed,8.495.000,54.806,155,140,,4,2.900,1836, 5,,,,1127,15,186,7.220.750,København K
Ejerlejlighed,7.195.000,59.462,121,109,,4,3.209,1847, 1,,,,1131,10,175,6.475.500,København K
Ejerlejlighed,6.700.000,64.423,104,90,,3,6.701,1816, 4, D,,,1150,0,206,6.700.000,København K
Ejerlejlighed,11.750.000,47.188,249,234,,8,8.864,1880, 4, D,,,1150,0,142,11.750.000,København K
Ejerlejlighed,8.495.000,62.007,137,118,,4,5.709,1875, 4, C,,,1150,0,147,8.495.000,København K
Ejerlejlighed,4.695.000,61.776,76,71,,2,4.937,1853, 1, C,12.57784,55.679982,1151,2,169,4.601.100,København K
Ejerlejlighed,5.300.000,63.095,84,79,,2,3.911,1853,0, C,12.578078,55.680037,1151,9,169,4.823.000,København K
Ejerlejlighed,4.198.000,72.379,58,86,,3,2.787,1853,0, C,12.57784,55.679982,1151,16,169,3.526.320,København K
Ejerlejlighed,6.650.000,55.882,119,101,,5,3.516,1744, 3,,,,1153,0,278,6.650.000,København K
Ejerlejlighed,4.295.000,87.653,49,88,,2,2.277,1734,0,,,,1153,0,288,4.295.000,København K
Ejerlejlighed,11.750.000,50.213,234,214,,4,11.338,1744, 2, D,,,1153,0,278,11.750.000,København K
Ejerlejlighed,2.995.000,73.048,41,35,,2,1.537,1813, 2,,,,1154,6,209,2.815.300,København K
Ejerlejlighed,6.495.000,77.321,84,78,,3,3.367,1813, 2,,12.575264,55.679401,1156,0,209,6.495.000,København K
Ejerlejlighed,5.198.000,64.975,80,73,,3,4.688,1821, 3,,12.574807,55.679625,1157,0,201,5.198.000,København K
Ejerlejlighed,8.995.000,70.826,127,110,,3,5.811,1734, 2, C,,,1157,0,288,8.995.000,København K
Ejerlejlighed,4.695.000,54.593,86,80,,3,4.808,1820, 3,,12.574983,55.679514,1157,12,202,4.131.600,København K
Ejerlejlighed,8.995.000,44.975,200,189,,6,7.299,1838, 2,,12.574053,55.679352,1159,18,184,7.375.900,København K
Ejerlejlighed,5.095.000,59.244,86,75,,2,3.111,1811, 1,,,,1159,0,211,5.095.000,København K
Ejerlejlighed,5.500.000,45.833,120,100,,4,5.243,1830,0,,12.5739092,55.6791188,1159,8,192,5.060.000,København K
Ejerlejlighed,7.995.000,48.454,165,156,,4,6.130,1820, 3, C,,,1159,3,202,7.755.150,København K
Ejerlejlighed,8.995.000,49.972,180,164,,3,9.356,1857, 1, D,,,1161,18,165,7.375.900,København K
Ejerlejlighed,4.295.000,49.367,87,80,,3,3.361,1810, 3, D,12.570712,55.681742,1165,9,212,3.908.450,København K
Ejerlejlighed,6.995.000,69.950,100,89,,3,4.078,1829, 2, E,12.57463,55.680381,1169,4,193,6.715.200,København K
Ejerlejlighed,12.000.000,47.430,253,238,,6,4.696,1736, 2,,,,1169,0,286,12.000.000,København K
Ejerlejlighed,28.500.000,79.831,357,548,,8,6.364,1736,0,,,,1169,0,286,28.500.000,København K
Ejerlejlighed,9.995.000,45.431,220,203,,4,4.513,1830, 4,,,,1171,0,192,9.995.000,København K
Ejerlejlighed,14.250.000,61.422,232,212,,7,7.991,1830, 3,,,,1171,0,192,14.250.000,København K
Ejerlejlighed,5.450.000,74.657,73,66,,3,3.450,1809, 3,,12.572494,55.681645,1171,4,213,5.232.000,København K
Ejerlejlighed,4.495.000,48.858,92,87,,4,4.058,1811, 4,,,,1173,10,211,4.045.500,København K
Ejerlejlighed,11.495.000,75.130,153,126,,6,6.082,1798, 1,,12.578537,55.677767,1202,0,224,11.495.000,København K
Ejerlejlighed,3.695.000,63.706,58,53,,2,2.711,1650, 3,,12.575167,55.676208,1204,0,372,3.695.000,København K
Ejerlejlighed,3.295.000,63.365,52,45,,1,2.666,1870, 1, E,,,1204,6,152,3.097.300,København K
Rækkehus,13.495.000,92.431,146,,,4,5.521,1732,0, D,12.57597,55.676516,1204,0,290,13.495.000,København K
Ejerlejlighed,6.995.000,47.585,147,147,,6,2.251,1700,0,,12.574971,55.676265,1204,26,322,5.176.300,København K
Ejerlejlighed,8.800.000,56.410,156,136,,5,5.878,1798, 2,,,,1208,0,224,8.800.000,København K
Ejerlejlighed,6.495.000,59.587,109,104,,4,4.121,1800, 1,,12.576342,55.677628,1208,0,222,6.495.000,København K
Ejerlejlighed,6.998.000,63.045,111,99,,3,3.825,1790,0, C,12.575426,55.67757,1209,7,232,6.508.140,København K
Ejerlejlighed,3.500.000,71.428,49,45,,2,2.525,1798, 1,,12.575842,55.676956,1210,0,224,3.500.000,København K
Ejerlejlighed,6.650.000,53.200,125,114,,4,3.201,1730, 2,,,,1210,5,292,6.317.500,København K
Ejerlejlighed,6.995.000,60.826,115,110,,4,3.532,1798, 1,,12.574169,55.677324,1211,13,224,6.085.650,København K
Ejerlejlighed,31.500.000,131.250,240,222,,4,9.859,1750, 4,,,,1250,0,272,31.500.000,København K
Ejerlejlighed,9.795.000,80.286,122,115,,3,5.035,1898,0, C,,,1250,13,124,8.521.650,København K
Ejerlejlighed,11.700.000,79.054,148,122,,4,6.639,1778, 4,,,,1253,0,244,11.700.000,København K
Ejerlejlighed,13.800.000,101.470,136,96,,3,3.244,1770, 2,,,,1254,0,252,13.800.000,København K
Ejerlejlighed,30.000.000,109.890,273,244,,6,8.387,1778, 1, C,,,1255,0,244,30.000.000,København K
Ejerlejlighed,5.995.000,74.012,81,66,,1,2.678,1778,0, C,,,1255,8,244,5.515.400,København K
Ejerlejlighed,3.995.000,70.087,57,47,,2,2.943,1962,0, C,12.591639,55.683038,1256,0,60,3.995.000,København K
Ejerlejlighed,21.000.000,81.712,257,240,,5,9.892,1752, 3,,,,1256,0,270,21.000.000,København K
Ejerlejlighed,7.495.000,75.707,99,94,,3,4.124,1806, 1, G,12.588488,55.681953,1260,0,216,7.495.000,København K
Ejerlejlighed,3.695.000,65.982,56,49,,2,2.169,1895,0, C,,,1264,0,127,3.695.000,København K
Andelsbolig,2.919.581,0,71,,,3,,1758, 2, C,,,1264,0,264,2.919.581,København K
Ejerlejlighed,19.500.000,73.584,265,220,,6,16.944,1750, 3, D,,,1264,0,272,19.500.000,København K
Ejerlejlighed,6.495.000,66.275,98,90,,4,3.793,1932,0, C,,,1264,0,90,6.495.000,København K
Ejerlejlighed,4.995.000,72.391,69,60,,2,3.655,1780,0, C,,,1264,6,242,4.695.300,København K
Ejerlejlighed,6.695.000,69.020,97,93,,3,3.427,1866, 1, B,12.589835,55.686572,1264,4,156,6.427.200,København K
Ejerlejlighed,9.995.000,72.956,137,178,,4,6.792,1838,0, C,,,1264,17,184,8.295.850,København K
Ejerlejlighed,12.700.000,105.833,120,195,,2,4.993,1850,0, B,,,1264,0,172,12.700.000,København K
Ejerlejlighed,11.245.000,79.190,142,128,,4,5.724,1880, 2, D,12.589098,55.685701,1264,5,142,10.682.750,København K
Ejerlejlighed,9.500.000,74.803,127,111,,5,4.066,1885, 4,,12.589263,55.684572,1265,14,137,8.170.000,København K
Andelsbolig,2.795.000,0,66,,,2,,1930,0, D,12.5911801,55.687417,1266,0,92,2.795.000,København K
Ejerlejlighed,14.995.000,66.349,226,211,,6,12.421,1925,0, C,12.590586,55.688514,1267,12,97,13.195.600,København K
Ejerlejlighed,15.000.000,64.655,232,220,,6,13.454,1925, 1, C,,,1268,0,97,15.000.000,København K
